row_index,brand,model,variant_raw,variant_engine,displacement_l,fuel,fuel_raw,year,power_kw,transmission,body_type,km,price,price_currency_assumed,vin,colour,availability,year_source,power_source
0,Hyundai,I30,1.0 119HP Automatic Advanced,1.0,1.0,Petrol,Benzin,2023,88.0,Automatic,Estate,122000,11600,EUR,TMAH381BGNJ153297,Metallic,Immidiatly ready,registration_date[%m/%d/%Y],variant_HP->kW
1,Nissan,X-Trail,1.3 157HP Automatic Acenta,1.3,1.3,Petrol,Benzin,2020,115.0,Automatic,SUV,80809,12950,EUR,JN1JGAT32U0051563,Brown,1 week,registration_date[%m/%d/%Y],variant_HP->kW
2,Mazda,Cx-5,2.0 163HP Manual Optimum,2.0,2.0,Petrol,Benzin,2020,120.0,Manual,SUV,100012,15950,EUR,JMZKF6W7600849116,Red,1 week,registration_date[%m/%d/%Y],variant_HP->kW
3,Honda,Jazz,1.3 101HP Manual Comfort,1.3,1.3,Petrol,Benzin,2017,74.0,Manual,Hatchback,84748,6000,EUR,JHMGK3750HX220455,White,1 week,registration_date[%m/%d/%Y],variant_HP->kW
4,Toyota,Rav4,2.5  Automatic H3 Selected,2.5,2.5,Hybrid,Hybrid,2019,,Automatic,SUV,93545,17000,EUR,JTMYRREV70D098986,Grey,Immidiatly ready,registration_date[%m/%d/%Y],missing
5,Subaru,Impreza,2.0 154HP Automatic Active,2.0,2.0,Petrol,Benzin,2019,113.0,Automatic,Hatchback,66220,11000,EUR,JF1GT7LL5JG031475,Blue,1 week,registration_date[%m/%d/%Y],variant_HP->kW
6,Toyota,Auris,1.8 98HP Manual H2 Premium,1.8,1.8,Hybrid,Hybrid,2015,72.0,Manual,Hatchback,150000,7200,EUR,SB1MS3JE60E150094,White,Immidiatly ready,registration_date[%m/%d/%Y],variant_HP->kW
7,Peugeot,2008,1.2 100HP Manual Allure,1.2,1.2,Petrol,Benzin,2024,74.0,Manual,SUV,42385,13400,EUR,VR3USHNKKRJ550704,Grey,1 week,registration_date[%m/%d/%Y],variant_HP->kW
8,Skoda,Karoq,1.5 148HP Automatic STYLE,1.5,1.5,Petrol,Benzin,2020,109.0,Automatic,SUV,112000,15000,EUR,TMBJR7NUXL5022139,Grey,1 week,registration_date[%m/%d/%Y],variant_HP->kW
9,Seat,Toledo,"1,2 TSI Style Start/Stop 110HK 5d 6g",1.2 TSI,1.2,Petrol,Petrol,2016,81.0,Manual,Hatchback,160000,4500,EUR,VSSZZZNHZH1006067,White,1 week,registration_date[%d.%m.%Y],variant_HK->kW
