row_index,brand,model,fuel,year,inventory_price_eur,ab_comparable_count,bz_comparable_count,missing_critical_fields,confidence_flag,confidence_reasons,ab_retrieval_error,bz_retrieval_error
5,Subaru,Impreza,Petrol,2019,11000,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
12,Skoda,Superb,Petrol,2019,16000,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",,
14,BMW,X1,Petrol,2018,11500,2,3,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=3)",,
15,Volkswagen,Passat,Petrol,2017,10800,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",,
21,Renault,Mégane,PHEV,2020,11500,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
24,VW,Golf,PHEV,2018,9900,0,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",,
33,BMW,X3,Petrol,2019,20000,2,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",,
37,BMW,3 Series,Petrol,2019,13500,3,2,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",,
42,Peugeot,3008,Hybrid,2020,15000,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
49,Audi,A5,Petrol,2016,7500,0,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",,
51,Mercedes,B-Class,Petrol,2015,6800,2,1,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",,
73,BMW,3 Series,Petrol,2019,14000,3,2,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",,
87,Mercedes,A-Class,Petrol,2017,9500,3,0,none,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=0)",,
